# Site          StartTime     WallTime     CPUtime         Files   PercRead
T2_US_Wisconsin 1411318607 40320 22 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/DAEF18FA-3027-E211-96A9-848F69FD2A30.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/FA3885F2-3027-E211-A8E1-0024E8769B6D.root 100
T2_US_Wisconsin 1411318612 40054 23 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/02D40A97-3127-E211-8666-180373FF93CE.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/6E875D93-3127-E211-8C25-00266CF9B034.root 100
T2_US_Wisconsin 1411318612 42749 19 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/BA6BC157-3327-E211-9283-008CFA002FA4.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/88D716C4-3227-E211-89CD-00266CFAE790.root 100
T2_US_Wisconsin 1411318612 63395 22241 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/AE67F198-3127-E211-9758-848F69FD298E.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/02D40A97-3127-E211-8666-180373FF93CE.root 100
T2_US_Wisconsin 1411318613 27370 25119 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/606DA1E9-3227-E211-8CCA-00266CFAE468.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/4C9EF294-3227-E211-A2B0-008CFA0005F4.root 100
T2_US_Wisconsin 1411318613 30863 28788 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/60F306F1-3027-E211-B748-00266CF2507C.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/FA3885F2-3027-E211-A8E1-0024E8769B6D.root 100
T2_US_Wisconsin 1411318613 39427 24 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/865FCB98-3227-E211-A6F3-0026B94E2824.root 100
T2_US_Wisconsin 1411318613 63789 23476 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/865FCB98-3227-E211-A6F3-0026B94E2824.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/606DA1E9-3227-E211-8CCA-00266CFAE468.root 100
T2_US_Wisconsin 1411318614 39752 25 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/5E60C5BB-3227-E211-8748-00266CFAE69C.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/88D716C4-3227-E211-89CD-00266CFAE790.root 100
T2_US_Wisconsin 1411318619 39429 19 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/865FCB98-3227-E211-A6F3-0026B94E2824.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/30101CC0-3227-E211-AED4-00266CFAE69C.root 100
T2_US_Wisconsin 1411318619 48143 5173 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/E0423D6B-3327-E211-B338-008CFA002830.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/BA6BC157-3327-E211-9283-008CFA002FA4.root 100
T2_US_UCSD 1411318623 30668 28680 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/72F59F6A-3227-E211-81BA-0024E87663AD.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/E6E7C650-3227-E211-9F3F-0024E86E8D9A.root 100
T2_US_UCSD 1411318630 33896 29718 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/A4E38BDC-3127-E211-AC92-848F69FD2817.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/882F90D0-3127-E211-A18F-0024E87680C0.root 100
T2_US_Wisconsin 1411318630 43606 3953 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/F4E1CABC-3227-E211-A85A-00266CFAE6B0.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/30101CC0-3227-E211-AED4-00266CFAE69C.root 100
T2_US_UCSD 1411318638 33689 31543 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/643386B9-3127-E211-8EDC-848F69FD294F.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/00BC7A96-3127-E211-8F6C-00266CFAE6B0.root 100
T2_US_UCSD 1411318639 33666 29555 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/6AE8E779-3127-E211-B16C-00266CF9B59C.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/D61C4167-3127-E211-959A-0024E8769B60.root 100
T2_US_Purdue 1411318641 38241 20 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/F4BB8D26-3127-E211-ACC3-00A0D1EEE5CC.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/143D1549-3127-E211-B698-848F69FD299D.root 100
