(time-1423531206)/3600.	SUM(QUEUED)	SUM(RUNNING)	SUM(DONE)
11.8333333333333	55828	13189	44881
11.9166666666667	55651	13147	45100
12	55457	13134	45307
12.0833333333333	55269	13124	45505
12.1666666666667	55089	13105	45704
12.25	54899	13069	45930
12.3333333333333	54705	13065	46128
12.4166666666667	54523	13053	46322
12.5	54350	13009	46539
12.5833333333333	54154	13021	46723
12.6666666666667	53987	12989	46922
12.75	53805	12958	47135
12.8333333333333	53620	12927	47351
12.9166666666667	53422	12937	47539
13	53256	12883	47759
13.0833333333333	53061	12834	48003
13.1666666666667	52849	12839	48210
13.25	52662	12837	48399
13.3333333333333	52496	12818	48584
13.4166666666667	52334	12767	48797
13.5	52144	12717	49037
13.5833333333333	51921	12726	49251
13.6666666666667	51725	12666	49507
13.75	51492	12672	49734
13.8333333333333	51283	12660	49955
13.9166666666667	51086	12622	50190
14	50871	12606	50421
14.0833333333333	50663	12631	50604
14.1666666666667	50496	12573	50829
14.25	50283	12556	51059
14.3333333333333	50077	12571	51250
14.4166666666667	49905	12531	51462
14.5	49717	12547	51634
14.5833333333333	49563	12542	51793
14.6666666666667	49430	12513	51955
14.75	49287	12452	52159
14.8333333333333	49107	12468	52323
14.9166666666667	48963	12450	52485
15	48829	12414	52655
15.0833333333333	48684	12370	52844
15.1666666666667	48515	12310	53073
15.25	48310	12284	53304
15.3333333333333	48107	12295	53496
15.4166666666667	47941	12289	53668
15.5	47783	12313	53802
15.5833333333333	47664	12273	53961
15.6666666666667	47526	12257	54115
15.75	47397	12205	54296
15.8333333333333	47240	12174	54484
15.9166666666667	47088	12139	54671
16	46915	12172	54811
16.0833333333333	46797	12122	54979
16.1666666666667	46650	12097	55151
16.25	46500	12059	55339
16.3333333333333	46335	12043	55520
16.4166666666667	46175	11997	55726
16.5	46005	11988	55905
16.5833333333333	45899	11924	56075
16.6666666666667	45839	11799	56260
16.75	45768	11716	56414
16.8333333333333	45690	11661	56547
16.9166666666667	45626	11594	56678
17	45542	11584	56772
17.0833333333333	45477	11531	56890
17.1666666666667	45378	11504	57016
17.25	45273	11471	57154
17.3333333333333	45165	11441	57292
17.4166666666667	45045	11415	57438
17.5	44920	11403	57575
17.5833333333333	44815	11359	57724
17.6666666666667	44687	11356	57855
17.75	44581	11348	57969
17.8333333333333	44496	11284	58118
17.9166666666667	44377	11276	58245
18	44268	11256	58374
18.0833333333333	44163	11205	58530
18.1666666666667	44027	10958	58913
18.25	43896	10914	59088
18.3333333333333	43746	10796	59356
18.4166666666667	43610	10772	59516
18.5	43472	10750	59676
18.5833333333333	43343	10681	59874
18.6666666666667	43203	10645	60050
18.75	43050	10573	60275
18.8333333333333	42907	10548	60443
18.9166666666667	42757	10505	60636
19	42604	10490	60804
19.0833333333333	42455	10491	60952
19.1666666666667	42324	10426	61148
19.25	42155	10378	61365
19.3333333333333	41964	10364	61570
19.4166666666667	41783	10352	61763
19.5	41614	10283	62001
19.5833333333333	41399	10294	62205
19.6666666666667	41222	10262	62414
19.75	41035	10233	62630
19.8333333333333	40836	10213	62849
19.9166666666667	40629	10216	63053
20	40437	10191	63270
20.0833333333333	40235	10170	63493
20.1666666666667	40028	10183	63687
20.25	39850	10180	63868
20.3333333333333	39691	10163	64044
20.4166666666667	39535	10110	64253
20.5	39340	10154	64404
20.5833333333333	39197	10141	64560
20.6666666666667	39051	10127	64720
20.75	38902	10101	64895
20.8333333333333	38742	10069	65087
20.9166666666667	38557	10080	65261
21	38391	10032	65475
21.0833333333333	38192	10073	65633
21.1666666666667	38047	10058	65793
21.25	37902	10052	65944
21.3333333333333	37758	10029	66111
21.4166666666667	37601	9990	66307
21.5	37424	9981	66493
21.5833333333333	37249	9965	66684
21.6666666666667	37069	9964	66865
21.75	36898	9961	67039
21.8333333333333	36733	9921	67244
21.9166666666667	36539	9910	67449
22	36340	9908	67650
22.0833333333333	36144	9882	67872
22.1666666666667	35926	9907	68065
22.25	35738	9883	68277
22.3333333333333	35591	9842	68465
22.4166666666667	35449	9781	68668
22.5	35299	9720	68879
22.5833333333333	35146	9728	69024
22.6666666666667	35023	9692	69183
22.75	34899	9663	69336
22.8333333333333	34764	9625	69509
22.9166666666667	34628	9634	69636
23	34523	9580	69795
23.0833333333333	34398	9601	69899
23.1666666666667	34322	9566	70010
23.25	34231	9513	70154
23.3333333333333	34115	9514	70269
23.4166666666667	34018	9503	70377
23.5	33920	9493	70485
23.5833333333333	33833	9488	70577
23.6666666666667	33761	9468	70669
23.75	33681	9455	70762
23.8333333333333	33596	9450	70852
23.9166666666667	33513	9430	70955
24	33419	9423	71056
24.0833333333333	33325	9421	71152
24.1666666666667	33240	9421	71237
24.25	33165	9392	71341
24.3333333333333	33072	9396	71430
24.4166666666667	32992	9380	71526
24.5	32902	9368	71628
24.5833333333333	32813	9319	71766
24.6666666666667	32684	9345	71869
24.75	32588	9342	71968
24.8333333333333	32497	9330	72071
24.9166666666667	32397	9346	72155
25	32316	9302	72280
25.0833333333333	32197	9314	72387
25.1666666666667	32103	9291	72504
25.25	31991	9284	72623
25.3333333333333	31878	9261	72759
25.4166666666667	31755	9255	72888
25.5	31631	9256	73011
25.5833333333333	31519	9261	73118
25.6666666666667	31419	9245	73234
25.75	31304	9252	73342
25.8333333333333	31201	9210	73487
25.9166666666667	31062	9240	73596
26	30955	9207	73736
26.0833333333333	30823	9192	73883
26.1666666666667	30681	9159	74058
26.25	30509	9140	74249
26.3333333333333	30322	9127	74449
26.4166666666667	30128	9165	74605
26.5	29979	9152	74767
26.5833333333333	29819	9191	74888
26.6666666666667	29702	9182	75014
26.75	29581	9176	75141
26.8333333333333	29459	9155	75284
26.9166666666667	29324	9136	75438
27	29177	9139	75582
27.0833333333333	29039	9142	75717
27.1666666666667	28910	9131	75857
27.25	28773	9120	76005
27.3333333333333	28635	9110	76153
27.4166666666667	28492	9117	76289
27.5	28362	9112	76424
27.5833333333333	28230	9104	76564
27.6666666666667	28098	9127	76673
